idx0,size0,syt0_be,syt0,idx1,size1,syt1_be,syt1
117,72,0x8170,28801,116,72,0x6970,28777
119,72,0x9570,28821,118,72,0x8170,28801
121,8,0xFFFF,65535,120,72,0x9570,28821
123,72,0xA970,28841,122,8,0xFFFF,65535
125,72,0xC16F,28609,124,72,0xA96F,28585
127,72,0xD570,28885,126,72,0xC16F,28609
129,8,0xFFFF,65535,128,72,0xD570,28885
131,72,0xE96F,28649,130,8,0xFFFF,65535
133,72,0x016F,28417,132,72,0xE970,28905
135,72,0x1570,28693,134,72,0x0170,28673
137,8,0xFFFF,65535,136,72,0x1570,28693
139,72,0x2970,28713,138,8,0xFFFF,65535
141,72,0x4170,28737,140,72,0x2970,28713
143,72,0x556F,28501,142,72,0x416F,28481
145,8,0xFFFF,65535,144,72,0x5570,28757
147,72,0x6970,28777,146,8,0xFFFF,65535
149,72,0x816F,28545,148,72,0x6970,28777
151,72,0x9570,28821,150,72,0x8170,28801
153,8,0xFFFF,65535,152,72,0x9570,28821
155,72,0xA96F,28585,154,8,0xFFFF,65535
157,72,0xC170,28865,156,72,0xA970,28841
159,72,0xD570,28885,158,72,0xC170,28865
161,8,0xFFFF,65535,160,72,0xD570,28885
163,72,0xE96F,28649,162,8,0xFFFF,65535
165,72,0x016F,28417,164,72,0xE96F,28649
167,72,0x1570,28693,166,72,0x0170,28673
169,8,0xFFFF,65535,168,72,0x1570,28693
171,72,0x2970,28713,170,8,0xFFFF,65535
173,72,0x4170,28737,172,72,0x296F,28457
175,72,0x556F,28501,174,72,0x4170,28737
177,8,0xFFFF,65535,176,72,0x556F,28501
179,72,0x6970,28777,178,8,0xFFFF,65535
181,72,0x8170,28801,180,72,0x696F,28521
183,72,0x9570,28821,182,72,0x816F,28545
185,8,0xFFFF,65535,184,72,0x956F,28565
187,72,0xA96F,28585,186,8,0xFFFF,65535
189,72,0xC16F,28609,188,72,0xA96F,28585
191,72,0xD56F,28629,190,72,0xC170,28865
193,8,0xFFFF,65535,192,72,0xD56F,28629
195,72,0xE970,28905,194,8,0xFFFF,65535
197,72,0x016F,28417,196,72,0xE970,28905
199,72,0x1570,28693,198,72,0x0170,28673
201,8,0xFFFF,65535,200,72,0x1570,28693
203,72,0x2970,28713,202,8,0xFFFF,65535
205,72,0x4170,28737,204,72,0x296F,28457
207,72,0x5570,28757,206,72,0x416F,28481
209,8,0xFFFF,65535,208,72,0x5570,28757
211,72,0x696F,28521,210,8,0xFFFF,65535
213,72,0x816F,28545,212,72,0x696F,28521
215,72,0x956F,28565,214,72,0x8170,28801
217,8,0xFFFF,65535,216,72,0x9570,28821
219,72,0xA96F,28585,218,8,0xFFFF,65535
221,72,0xC170,28865,220,72,0xA96F,28585
223,72,0xD570,28885,222,72,0xC170,28865
225,8,0xFFFF,65535,224,72,0xD56F,28629
227,72,0xE970,28905,226,8,0xFFFF,65535
229,72,0x0170,28673,228,72,0xE970,28905
231,72,0x156F,28437,230,72,0x016F,28417
233,8,0xFFFF,65535,232,72,0x1570,28693
235,72,0x296F,28457,234,8,0xFFFF,65535
237,72,0x4170,28737,236,72,0x296F,28457
239,72,0x556F,28501,238,72,0x4170,28737
241,8,0xFFFF,65535,240,72,0x5570,28757
243,72,0x6970,28777,242,8,0xFFFF,65535
245,72,0x8170,28801,244,72,0x696F,28521
247,72,0x9570,28821,246,72,0x8170,28801
249,8,0xFFFF,65535,248,72,0x9570,28821
251,72,0xA970,28841,250,8,0xFFFF,65535
253,72,0xC170,28865,252,72,0xA96F,28585
255,72,0xD570,28885,254,72,0xC170,28865
257,8,0xFFFF,65535,256,72,0xD570,28885
259,72,0xE970,28905,258,8,0xFFFF,65535
261,72,0x016F,28417,260,72,0xE96F,28649
263,72,0x1570,28693,262,72,0x0170,28673
265,8,0xFFFF,65535,264,72,0x1570,28693
267,72,0x296F,28457,266,8,0xFFFF,65535
269,72,0x4170,28737,268,72,0x296F,28457
271,72,0x5570,28757,270,72,0x4170,28737
273,8,0xFFFF,65535,272,72,0x556F,28501
275,72,0x6970,28777,274,8,0xFFFF,65535
277,72,0x8170,28801,276,72,0x696F,28521
279,72,0x9570,28821,278,72,0x8170,28801
281,8,0xFFFF,65535,280,72,0x9570,28821
283,72,0xA96F,28585,282,8,0xFFFF,65535
285,72,0xC170,28865,284,72,0xA970,28841
287,72,0xD570,28885,286,72,0xC170,28865
289,8,0xFFFF,65535,288,72,0xD570,28885
291,72,0xE96F,28649,290,8,0xFFFF,65535
293,72,0x0170,28673,292,72,0xE96F,28649
295,72,0x156F,28437,294,72,0x016F,28417
297,8,0xFFFF,65535,296,72,0x156F,28437
299,72,0x2970,28713,298,8,0xFFFF,65535
301,72,0x4170,28737,300,72,0x296F,28457
303,72,0x5570,28757,302,72,0x4170,28737
305,8,0xFFFF,65535,304,72,0x556F,28501
307,72,0x6970,28777,306,8,0xFFFF,65535
309,72,0x8170,28801,308,72,0x696F,28521
311,72,0x9570,28821,310,72,0x816F,28545
313,8,0xFFFF,65535,312,72,0x956F,28565
315,72,0xA970,28841,314,8,0xFFFF,65535
317,72,0xC170,28865,316,72,0xA970,28841
319,72,0xD570,28885,318,72,0xC170,28865
321,8,0xFFFF,65535,320,72,0xD570,28885
323,72,0xE96F,28649,322,8,0xFFFF,65535
325,72,0x0170,28673,324,72,0xE970,28905
327,72,0x1570,28693,326,72,0x0170,28673
329,8,0xFFFF,65535,328,72,0x1570,28693
331,72,0x296F,28457,330,8,0xFFFF,65535
333,72,0x4170,28737,332,72,0x2970,28713
335,72,0x556F,28501,334,72,0x4170,28737
337,8,0xFFFF,65535,336,72,0x5570,28757
339,72,0x6970,28777,338,8,0xFFFF,65535
341,72,0x816F,28545,340,72,0x696F,28521
343,72,0x956F,28565,342,72,0x8170,28801
345,8,0xFFFF,65535,344,72,0x9570,28821
347,72,0xA970,28841,346,8,0xFFFF,65535
349,72,0xC170,28865,348,72,0xA96F,28585
351,72,0xD570,28885,350,72,0xC170,28865
353,8,0xFFFF,65535,352,72,0xD570,28885
355,72,0xE96F,28649,354,8,0xFFFF,65535
357,72,0x0170,28673,356,72,0xE970,28905
359,72,0x1570,28693,358,72,0x0170,28673
361,8,0xFFFF,65535,360,72,0x1570,28693
363,72,0x2970,28713,362,8,0xFFFF,65535
365,72,0x416F,28481,364,72,0x2970,28713
367,72,0x556F,28501,366,72,0x4170,28737
369,8,0xFFFF,65535,368,72,0x556F,28501
371,72,0x696F,28521,370,8,0xFFFF,65535
373,72,0x8170,28801,372,72,0x696F,28521
375,72,0x9570,28821,374,72,0x8170,28801
377,8,0xFFFF,65535,376,72,0x956F,28565
379,72,0xA970,28841,378,8,0xFFFF,65535
381,72,0xC16F,28609,380,72,0xA970,28841
383,72,0xD570,28885,382,72,0xC170,28865
385,8,0xFFFF,65535,384,72,0xD570,28885
387,72,0xE96F,28649,386,8,0xFFFF,65535
389,72,0x0170,28673,388,72,0xE96F,28649
391,72,0x1570,28693,390,72,0x0170,28673
393,8,0xFFFF,65535,392,72,0x1570,28693
395,72,0x296F,28457,394,8,0xFFFF,65535
397,72,0x4170,28737,396,72,0x296F,28457
399,72,0x5570,28757,398,72,0x416F,28481
401,8,0xFFFF,65535,400,72,0x5570,28757
403,72,0x6970,28777,402,8,0xFFFF,65535
405,72,0x8170,28801,404,72,0x6970,28777
407,72,0x9570,28821,406,72,0x816F,28545
409,8,0xFFFF,65535,408,72,0x956F,28565
411,72,0xA96F,28585,410,8,0xFFFF,65535
413,72,0xC170,28865,412,72,0xA970,28841
415,72,0xD570,28885,414,72,0xC170,28865
417,8,0xFFFF,65535,416,72,0xD570,28885
419,72,0xE96F,28649,418,8,0xFFFF,65535
421,72,0x0170,28673,420,72,0xE970,28905
423,72,0x1570,28693,422,72,0x0170,28673
425,8,0xFFFF,65535,424,72,0x156F,28437
427,72,0x296F,28457,426,8,0xFFFF,65535
429,72,0x4170,28737,428,72,0x296F,28457
431,72,0x5570,28757,430,72,0x4170,28737
433,8,0xFFFF,65535,432,72,0x5570,28757
435,72,0x696F,28521,434,8,0xFFFF,65535
437,72,0x8170,28801,436,72,0x696F,28521
439,72,0x9570,28821,438,72,0x816F,28545
441,8,0xFFFF,65535,440,72,0x956F,28565
443,72,0xA970,28841,442,8,0xFFFF,65535
445,72,0xC16F,28609,444,72,0xA96F,28585
447,72,0xD570,28885,446,72,0xC170,28865
449,8,0xFFFF,65535,448,72,0xD56F,28629
451,72,0xE970,28905,450,8,0xFFFF,65535
453,72,0x016F,28417,452,72,0xE970,28905
455,72,0x1570,28693,454,72,0x0170,28673
457,8,0xFFFF,65535,456,72,0x1570,28693
459,72,0x2970,28713,458,8,0xFFFF,65535
461,72,0x416F,28481,460,72,0x296F,28457
463,72,0x5570,28757,462,72,0x416F,28481
465,8,0xFFFF,65535,464,72,0x5570,28757
467,72,0x696F,28521,466,8,0xFFFF,65535
469,72,0x8170,28801,468,72,0x6970,28777
471,72,0x9570,28821,470,72,0x8170,28801
473,8,0xFFFF,65535,472,72,0x9570,28821
475,72,0xA970,28841,474,8,0xFFFF,65535
477,72,0xC16F,28609,476,72,0xA96F,28585
479,72,0xD570,28885,478,72,0xC16F,28609
481,8,0xFFFF,65535,480,72,0xD56F,28629
483,72,0xE970,28905,482,8,0xFFFF,65535
485,72,0x0170,28673,484,72,0xE96F,28649
487,72,0x156F,28437,486,72,0x0170,28673
489,8,0xFFFF,65535,488,72,0x156F,28437
491,72,0x2970,28713,490,8,0xFFFF,65535
493,72,0x4170,28737,492,72,0x2970,28713
495,72,0x556F,28501,494,72,0x4170,28737
497,8,0xFFFF,65535,496,72,0x5570,28757
499,72,0x6970,28777,498,8,0xFFFF,65535
501,72,0x816F,28545,500,72,0x696F,28521
503,72,0x9570,28821,502,72,0x816F,28545
505,8,0xFFFF,65535,504,72,0x9570,28821
507,72,0xA970,28841,506,8,0xFFFF,65535
509,72,0xC170,28865,508,72,0xA970,28841
511,72,0xD56F,28629,510,72,0xC16F,28609
513,8,0xFFFF,65535,512,72,0xD56F,28629
515,72,0xE96F,28649,514,8,0xFFFF,65535
517,72,0x0170,28673,516,72,0xE970,28905
519,72,0x1570,28693,518,72,0x0170,28673
521,8,0xFFFF,65535,520,72,0x156F,28437
523,72,0x2970,28713,522,8,0xFFFF,65535
525,72,0x4170,28737,524,72,0x296F,28457
527,72,0x556F,28501,526,72,0x4170,28737
529,8,0xFFFF,65535,528,72,0x556F,28501
531,72,0x6970,28777,530,8,0xFFFF,65535
533,72,0x816F,28545,532,72,0x6970,28777
535,72,0x9570,28821,534,72,0x816F,28545
537,8,0xFFFF,65535,536,72,0x956F,28565
539,72,0xA96F,28585,538,8,0xFFFF,65535
541,72,0xC170,28865,540,72,0xA96F,28585
543,72,0xD56F,28629,542,72,0xC170,28865
545,8,0xFFFF,65535,544,72,0xD570,28885
547,72,0xE96F,28649,546,8,0xFFFF,65535
549,72,0x016F,28417,548,72,0xE970,28905
551,72,0x156F,28437,550,72,0x0170,28673
553,8,0xFFFF,65535,552,72,0x1570,28693
555,72,0x2970,28713,554,8,0xFFFF,65535
557,72,0x4170,28737,556,72,0x2970,28713
559,72,0x5570,28757,558,72,0x416F,28481
561,8,0xFFFF,65535,560,72,0x5570,28757
563,72,0x6970,28777,562,8,0xFFFF,65535
565,72,0x816F,28545,564,72,0x696F,28521
567,72,0x956F,28565,566,72,0x816F,28545
569,8,0xFFFF,65535,568,72,0x9570,28821
571,72,0xA970,28841,570,8,0xFFFF,65535
573,72,0xC170,28865,572,72,0xA970,28841
575,72,0xD56F,28629,574,72,0xC16F,28609
577,8,0xFFFF,65535,576,72,0xD570,28885
579,72,0xE96F,28649,578,8,0xFFFF,65535
581,72,0x0170,28673,580,72,0xE970,28905
583,72,0x1570,28693,582,72,0x016F,28417
585,8,0xFFFF,65535,584,72,0x1570,28693
587,72,0x2970,28713,586,8,0xFFFF,65535
589,72,0x416F,28481,588,72,0x2970,28713
591,72,0x556F,28501,590,72,0x416F,28481
593,8,0xFFFF,65535,592,72,0x5570,28757
595,72,0x6970,28777,594,8,0xFFFF,65535
597,72,0x816F,28545,596,72,0x696F,28521
599,72,0x9570,28821,598,72,0x8170,28801
601,8,0xFFFF,65535,600,72,0x956F,28565
603,72,0xA970,28841,602,8,0xFFFF,65535
605,72,0xC170,28865,604,72,0xA970,28841
607,72,0xD56F,28629,606,72,0xC170,28865
609,8,0xFFFF,65535,608,72,0xD570,28885
611,72,0xE970,28905,610,8,0xFFFF,65535
613,72,0x0170,28673,612,72,0xE96F,28649
615,72,0x156F,28437,614,72,0x0170,28673
617,8,0xFFFF,65535,616,72,0x156F,28437
619,72,0x2970,28713,618,8,0xFFFF,65535
621,72,0x4170,28737,620,72,0x2970,28713
623,72,0x5570,28757,622,72,0x416F,28481
625,8,0xFFFF,65535,624,72,0x556F,28501
627,72,0x6970,28777,626,8,0xFFFF,65535
629,72,0x8170,28801,628,72,0x6970,28777
631,72,0x9570,28821,630,72,0x816F,28545
633,8,0xFFFF,65535,632,72,0x956F,28565
635,72,0xA970,28841,634,8,0xFFFF,65535
637,72,0xC16F,28609,636,72,0xA96F,28585
639,72,0xD570,28885,638,72,0xC16F,28609
641,8,0xFFFF,65535,640,72,0xD56F,28629
643,72,0xE96F,28649,642,8,0xFFFF,65535
645,72,0x016F,28417,644,72,0xE970,28905
647,72,0x1570,28693,646,72,0x016F,28417
649,8,0xFFFF,65535,648,72,0x1570,28693
651,72,0x2970,28713,650,8,0xFFFF,65535
653,72,0x416F,28481,652,72,0x296F,28457
655,72,0x5570,28757,654,72,0x416F,28481
657,8,0xFFFF,65535,656,72,0x5570,28757
659,72,0x6970,28777,658,8,0xFFFF,65535
661,72,0x816F,28545,660,72,0x696F,28521
663,72,0x956F,28565,662,72,0x8170,28801
665,8,0xFFFF,65535,664,72,0x9570,28821
667,72,0xA970,28841,666,8,0xFFFF,65535
669,72,0xC16F,28609,668,72,0xA970,28841
671,72,0xD56F,28629,670,72,0xC170,28865
673,8,0xFFFF,65535,672,72,0xD570,28885
675,72,0xE970,28905,674,8,0xFFFF,65535
677,72,0x0170,28673,676,72,0xE970,28905
679,72,0x1570,28693,678,72,0x0170,28673
681,8,0xFFFF,65535,680,72,0x1570,28693
683,72,0x2970,28713,682,8,0xFFFF,65535
685,72,0x4170,28737,684,72,0x2970,28713
687,72,0x5570,28757,686,72,0x416F,28481
689,8,0xFFFF,65535,688,72,0x5570,28757
691,72,0x696F,28521,690,8,0xFFFF,65535
693,72,0x8170,28801,692,72,0x696F,28521
695,72,0x9570,28821,694,72,0x8170,28801
697,8,0xFFFF,65535,696,72,0x9570,28821
699,72,0xA970,28841,698,8,0xFFFF,65535
701,72,0xC16F,28609,700,72,0xA96F,28585
703,72,0xD56F,28629,702,72,0xC16F,28609
705,8,0xFFFF,65535,704,72,0xD56F,28629
707,72,0xE970,28905,706,8,0xFFFF,65535
709,72,0x016F,28417,708,72,0xE96F,28649
711,72,0x1570,28693,710,72,0x0170,28673
713,8,0xFFFF,65535,712,72,0x156F,28437
715,72,0x2970,28713,714,8,0xFFFF,65535
717,72,0x416F,28481,716,72,0x2970,28713
719,72,0x5570,28757,718,72,0x4170,28737
721,8,0xFFFF,65535,720,72,0x556F,28501
723,72,0x6970,28777,722,8,0xFFFF,65535
725,72,0x816F,28545,724,72,0x6970,28777
727,72,0x9570,28821,726,72,0x8170,28801
729,8,0xFFFF,65535,728,72,0x956F,28565
731,72,0xA970,28841,730,8,0xFFFF,65535
733,72,0xC16F,28609,732,72,0xA96F,28585
735,72,0xD56F,28629,734,72,0xC170,28865
737,8,0xFFFF,65535,736,72,0xD56F,28629
739,72,0xE96F,28649,738,8,0xFFFF,65535
741,72,0x0170,28673,740,72,0xE96F,28649
743,72,0x156F,28437,742,72,0x0170,28673
745,8,0xFFFF,65535,744,72,0x156F,28437
747,72,0x296F,28457,746,8,0xFFFF,65535
749,72,0x416F,28481,748,72,0x2970,28713
751,72,0x5570,28757,750,72,0x4170,28737
753,8,0xFFFF,65535,752,72,0x5570,28757
755,72,0x696F,28521,754,8,0xFFFF,65535
757,72,0x8170,28801,756,72,0x6970,28777
759,72,0x9570,28821,758,72,0x8170,28801
761,8,0xFFFF,65535,760,72,0x9570,28821
763,72,0xA970,28841,762,8,0xFFFF,65535
765,72,0xC170,28865,764,72,0xA970,28841
767,72,0xD570,28885,766,72,0xC170,28865
769,8,0xFFFF,65535,768,72,0xD56F,28629
771,72,0xE970,28905,770,8,0xFFFF,65535
773,72,0x0170,28673,772,72,0xE96F,28649
775,72,0x156F,28437,774,72,0x016F,28417
777,8,0xFFFF,65535,776,72,0x1570,28693
779,72,0x2970,28713,778,8,0xFFFF,65535
781,72,0x4170,28737,780,72,0x2970,28713
783,72,0x5570,28757,782,72,0x416F,28481
785,8,0xFFFF,65535,784,72,0x5570,28757
787,72,0x696F,28521,786,8,0xFFFF,65535
789,72,0x816F,28545,788,72,0x6970,28777
791,72,0x9570,28821,790,72,0x8170,28801
793,8,0xFFFF,65535,792,72,0x956F,28565
795,72,0xA970,28841,794,8,0xFFFF,65535
797,72,0xC170,28865,796,72,0xA970,28841
799,72,0xD56F,28629,798,72,0xC16F,28609
801,8,0xFFFF,65535,800,72,0xD56F,28629
803,72,0xE970,28905,802,8,0xFFFF,65535
805,72,0x016F,28417,804,72,0xE970,28905
807,72,0x1570,28693,806,72,0x016F,28417
809,8,0xFFFF,65535,808,72,0x1570,28693
811,72,0x296F,28457,810,8,0xFFFF,65535
813,72,0x416F,28481,812,72,0x2970,28713
815,72,0x556F,28501,814,72,0x416F,28481
817,8,0xFFFF,65535,816,72,0x5570,28757
819,72,0x696F,28521,818,8,0xFFFF,65535
821,72,0x8170,28801,820,72,0x696F,28521
823,72,0x956F,28565,822,72,0x816F,28545
825,8,0xFFFF,65535,824,72,0x9570,28821
827,72,0xA970,28841,826,8,0xFFFF,65535
829,72,0xC170,28865,828,72,0xA970,28841
831,72,0xD56F,28629,830,72,0xC170,28865
833,8,0xFFFF,65535,832,72,0xD570,28885
835,72,0xE970,28905,834,8,0xFFFF,65535
837,72,0x0170,28673,836,72,0xE970,28905
839,72,0x1570,28693,838,72,0x0170,28673
841,8,0xFFFF,65535,840,72,0x1570,28693
843,72,0x296F,28457,842,8,0xFFFF,65535
845,72,0x4170,28737,844,72,0x2970,28713
847,72,0x556F,28501,846,72,0x4170,28737
849,8,0xFFFF,65535,848,72,0x5570,28757
851,72,0x6970,28777,850,8,0xFFFF,65535
853,72,0x8170,28801,852,72,0x6970,28777
855,72,0x956F,28565,854,72,0x8170,28801
857,8,0xFFFF,65535,856,72,0x956F,28565
859,72,0xA96F,28585,858,8,0xFFFF,65535
861,72,0xC170,28865,860,72,0xA970,28841
863,72,0xD56F,28629,862,72,0xC170,28865
865,8,0xFFFF,65535,864,72,0xD56F,28629
867,72,0xE96F,28649,866,8,0xFFFF,65535
869,72,0x0170,28673,868,72,0xE970,28905
871,72,0x1570,28693,870,72,0x0170,28673
873,8,0xFFFF,65535,872,72,0x1570,28693
875,72,0x296F,28457,874,8,0xFFFF,65535
877,72,0x4170,28737,876,72,0x2970,28713
879,72,0x556F,28501,878,72,0x4170,28737
881,8,0xFFFF,65535,880,72,0x556F,28501
883,72,0x6970,28777,882,8,0xFFFF,65535
885,72,0x8170,28801,884,72,0x6970,28777
887,72,0x956F,28565,886,72,0x816F,28545
889,8,0xFFFF,65535,888,72,0x9570,28821
891,72,0xA96F,28585,890,8,0xFFFF,65535
893,72,0xC170,28865,892,72,0xA970,28841
895,72,0xD56F,28629,894,72,0xC170,28865
897,8,0xFFFF,65535,896,72,0xD570,28885
899,72,0xE96F,28649,898,8,0xFFFF,65535
901,72,0x0170,28673,900,72,0xE970,28905
903,72,0x1570,28693,902,72,0x0170,28673
905,8,0xFFFF,65535,904,72,0x1570,28693
907,72,0x296F,28457,906,8,0xFFFF,65535
909,72,0x4170,28737,908,72,0x2970,28713
911,72,0x5570,28757,910,72,0x416F,28481
913,8,0xFFFF,65535,912,72,0x556F,28501
915,72,0x696F,28521,914,8,0xFFFF,65535
917,72,0x8170,28801,916,72,0x696F,28521
919,72,0x9570,28821,918,72,0x8170,28801
921,8,0xFFFF,65535,920,72,0x9570,28821
923,72,0xA96F,28585,922,8,0xFFFF,65535
925,72,0xC170,28865,924,72,0xA96F,28585
927,72,0xD56F,28629,926,72,0xC16F,28609
929,8,0xFFFF,65535,928,72,0xD570,28885
931,72,0xE96F,28649,930,8,0xFFFF,65535
933,72,0x0170,28673,932,72,0xE970,28905
935,72,0x1570,28693,934,72,0x0170,28673
937,8,0xFFFF,65535,936,72,0x156F,28437
939,72,0x296F,28457,938,8,0xFFFF,65535
941,72,0x4170,28737,940,72,0x296F,28457
943,72,0x5570,28757,942,72,0x4170,28737
945,8,0xFFFF,65535,944,72,0x5570,28757
947,72,0x696F,28521,946,8,0xFFFF,65535
949,72,0x816F,28545,948,72,0x696F,28521
951,72,0x956F,28565,950,72,0x816F,28545
953,8,0xFFFF,65535,952,72,0x956F,28565
955,72,0xA970,28841,954,8,0xFFFF,65535
957,72,0xC16F,28609,956,72,0xA96F,28585
959,72,0xD56F,28629,958,72,0xC170,28865
961,8,0xFFFF,65535,960,72,0xD56F,28629
963,72,0xE96F,28649,962,8,0xFFFF,65535
965,72,0x016F,28417,964,72,0xE970,28905
967,72,0x1570,28693,966,72,0x016F,28417
